Nuclide;Z;N;Decay mode;Secondary decay mode;Tertiary decay mode;Half life;Jp;Abundance (%)
150Tb;65;85;b+;;;3.48 h;(2)-;
151Tb;65;86;b+;;;17.609 h;1/2+;
152Tb;65;87;b+;;;17.8784 h;2-;
153Tb;65;88;b+;;;2.34 d;5/2+;
154Tb;65;89;b+;;;9.994 h;3-;
155Tb;65;90;EC;;;5.2346 d;3/2+;
156Tb;65;91;b+;;;5.35 d;3-;
157Tb;65;92;EC;;;71 y;3/2+;
158Tb;65;93;b+: 83.4%;b-: 16.6%;;180 y;3-;
159Tb;65;94;stable;;;stable;3/2+;100
160Tb;65;95;b-;;;72.3 d;3-;
161Tb;65;96;b-;;;6.948 d;3/2+;
162Tb;65;97;b-;;;7.6 min;(1-);
163Tb;65;98;b-;;;19.5 min;3/2+;
164Tb;65;99;b-;;;3 min;(5+);
165Tb;65;100;b-;;;2.11 min;(3/2+);
166Tb;65;101;b-;;;27.1 s;(1-);
167Tb;65;102;b-;;;18.9 s;(3/2+);
168Tb;65;103;b-;;;9.4 s;(4-);
169Tb;65;104;b-;;;5.13 s;3/2+;
170Tb;65;105;b-;;;960 ms;2-;
171Tb;65;106;b-;;;1.23 s;3/2+;
172Tb;65;107;b-;;;760 ms;6+;
173Tb;65;108;b-;;;400 ms;3/2+;
174Tb;65;109;b-;;;240 ms;2-;
139Dy;66;73;b+;;;600 ms;(7/2+);
140Dy;66;74;b+;;;700 ms;0+;
141Dy;66;75;b+;;;0.9 s;(9/2-);
142Dy;66;76;b+;;;2.3 s;0+;
143Dy;66;77;b+;;;5.6 s;(1/2+);
144Dy;66;78;b+;;;9.1 s;0+;
145Dy;66;79;b+;;;9.5 s;(1/2+);
146Dy;66;80;b+;;;33.2 s;0+;
147Dy;66;81;b+;;;67 s;(1/2+);
148Dy;66;82;b+;;;3.3 min;0+;
149Dy;66;83;b+;;;4.2 min;7/2-;
150Dy;66;84;b+: 66.4%;a: 33.6%;;7.17 min;0+;
151Dy;66;85;b+: 94.4%;a: 5.6%;;17.9 min;7/2-;
152Dy;66;86;EC: 99.9%;a: 0.1%;;2.38 h;0+;
153Dy;66;87;b+: 99.99%;a: 0.01%;;6.4 h;7/2-;
154Dy;66;88;a;;;1.4E+6 y;0+;
155Dy;66;89;b+;;;9.9 h;3/2-;
156Dy;66;90;stable;;;stable;0+;0.06
157Dy;66;91;b+;;;8.14 h;3/2-;
158Dy;66;92;stable;;;stable;0+;0.10
159Dy;66;93;EC;;;144.4 d;3/2-;
160Dy;66;94;stable;;;stable;0+;2.34
161Dy;66;95;stable;;;stable;5/2+;18.9
162Dy;66;96;stable;;;stable;0+;25.5
163Dy;66;97;stable;;;stable;5/2-;24.9
164Dy;66;98;stable;;;stable;0+;28.2
165Dy;66;99;b-;;;2.332 h;7/2+;
166Dy;66;100;b-;;;81.6 h;0+;
167Dy;66;101;b-;;;6.2 min;(1/2-);
168Dy;66;102;b-;;;8.7 min;0+;
169Dy;66;103;b-;;;39 s;(5/2)-;
170Dy;66;104;b-;;;54.9 s;0+;
171Dy;66;105;b-;;;4.07 s;7/2-;
172Dy;66;106;b-;;;3.4 s;0+;
173Dy;66;107;b-;;;1.43 s;9/2+;
174Dy;66;108;b-;;;1 s;0+;
175Dy;66;109;b-;;;390 ms;1/2-;
176Dy;66;110;b-;;;440 ms;0+;
140Ho;67;73;p;;;6 ms;8+;
141Ho;67;74;p;;;4.1 ms;(7/2-);
142Ho;67;75;b+;;;400 ms;(7-, 8+);
143Ho;67;76;b+;;;300 ms;11/2-;
144Ho;67;77;b+;;;0.7 s;(5-);
145Ho;67;78;b+;;;2.4 s;(11/2-);
146Ho;67;79;b+;;;3.32 s;(6-);
147Ho;67;80;b+;;;5.8 s;(11/2-);
148Ho;67;81;b+;;;2.2 s;(1+);
149Ho;67;82;b+;;;21.1 s;(11/2-);
150Ho;67;83;b+;;;76.8 s;(2)-;
151Ho;67;84;b+: 78%;a: 22%;;35.2 s;11/2-;
152Ho;67;85;b+: 88%;a: 12%;;161.8 s;2-;
153Ho;67;86;b+: 99.95%;a: 0.05%;;2.01 min;11/2-;
154Ho;67;87;b+: 99.98%;a: 0.02%;;11.76 min;2-;
155Ho;67;88;b+;;;48 min;5/2+;
156Ho;67;89;b+;;;56 min;4-;
157Ho;67;90;b+;;;12.6 min;7/2-;
158Ho;67;91;b+;;;11.3 min;5+;
159Ho;67;92;b+;;;33.05 min;7/2-;
160Ho;67;93;b+;;;25.6 min;5+;
161Ho;67;94;EC;;;2.48 h;7/2-;
162Ho;67;95;b+;;;15 min;1+;
163Ho;67;96;EC;;;4570 y;7/2-;
164Ho;67;97;EC: 61%;b-: 39%;;28.8 min;1+;
165Ho;67;98;stable;;;stable;7/2-;100
166Ho;67;99;b-;;;26.812 h;0-;
167Ho;67;100;b-;;;3.1 h;7/2-;
168Ho;67;101;b-;;;2.99 min;3+;
169Ho;67;102;b-;;;4.72 min;7/2-;
170Ho;67;103;b-;;;2.76 min;(6+);
171Ho;67;104;b-;;;53 s;7/2-;
172Ho;67;105;b-;;;25 s;0+;
173Ho;67;106;b-;;;7.1 s;7/2-;
174Ho;67;107;b-;;;3.7 s;(8-);
175Ho;67;108;b-;;;1.88 s;7/2-;
176Ho;67;109;b-;;;1 s;4+;
177Ho;67;110;b-;;;1 s;7/2-;
178Ho;67;111;b-;;;750 ms;2+;
143Er;68;75;b+;;;200 ms;9/2-;
144Er;68;76;b+;;;400 ms;0+;
145Er;68;77;b+;;;900 ms;1/2+;
146Er;68;78;b+;;;1.7 s;0+;
147Er;68;79;b+;;;3.2 s;(1/2+);
148Er;68;80;b+;;;4.6 s;0+;
149Er;68;81;b+;;;4 s;(1/2+);
150Er;68;82;b+;;;18.5 s;0+;
151Er;68;83;b+;;;23.5 s;(7/2-);
152Er;68;84;a: 90%;b+: 10%;;10.3 s;0+;
153Er;68;85;a: 53%;b+: 47%;;37.1 s;7/2-;
154Er;68;86;b+: 99.5%;a: 0.5%;;3.73 min;0+;
155Er;68;87;b+: 99.98%;a: 0.02%;;5.3 min;7/2-;
156Er;68;88;b+;;;19.5 min;0+;
157Er;68;89;b+;;;18.65 min;3/2-;
158Er;68;90;EC;;;2.29 h;0+;
159Er;68;91;b+;;;36 min;3/2-;
160Er;68;92;EC;;;28.58 h;0+;
161Er;68;93;b+;;;3.21 h;3/2-;
162Er;68;94;stable;;;stable;0+;0.14
163Er;68;95;b+;;;75 min;5/2-;
164Er;68;96;stable;;;stable;0+;1.60
165Er;68;97;EC;;;10.36 h;5/2-;
166Er;68;98;stable;;;stable;0+;33.50
167Er;68;99;stable;;;stable;7/2+;22.87
168Er;68;100;stable;;;stable;0+;26.98
169Er;68;101;b-;;;9.392 d;1/2-;
170Er;68;102;stable;;;stable;0+;14.91
171Er;68;103;b-;;;7.516 h;5/2-;
172Er;68;104;b-;;;49.3 h;0+;
173Er;68;105;b-;;;1.434 min;(7/2-);
174Er;68;106;b-;;;3.2 min;0+;
175Er;68;107;b-;;;1.2 min;9/2+;
176Er;68;108;b-;;;12 s;0+;
177Er;68;109;b-;;;8 s;1/2-;
178Er;68;110;b-;;;4 s;0+;
179Er;68;111;b-;;;3 s;3/2-;
180Er;68;112;b-;;;2 s;0+;
144Tm;69;75;p;;;2.3 μs;(10+);
145Tm;69;76;p;;;3.17 μs;(11/2-);
146Tm;69;77;p;;;155 ms;(1+);
147Tm;69;78;b+: 85%;p: 15%;;0.58 s;11/2-;
148Tm;69;79;b+;;;0.7 s;(10+);
149Tm;69;80;b+;;;0.9 s;11/2-;
150Tm;69;81;b+;;;3 s;(1+);
151Tm;69;82;b+;;;4.17 s;(11/2-);
152Tm;69;83;b+;;;8 s;(2)-;
153Tm;69;84;a: 91.0%;b+: 9.0%;;1.48 s;(11/2-);
154Tm;69;85;b+: 54.0%;a: 46.0%;;8.1 s;(2)-;
155Tm;69;86;b+: 99.2%;a: 0.8%;;21.6 s;11/2-;
156Tm;69;87;b+: 99.94%;a: 0.06%;;83.8 s;2-;
157Tm;69;88;b+;;;3.63 min;1/2+;
158Tm;69;89;b+;;;3.98 min;2-;
159Tm;69;90;b+;;;9.13 min;5/2+;
160Tm;69;91;b+;;;9.4 min;1-;
161Tm;69;92;b+;;;30.2 min;7/2+;
162Tm;69;93;b+;;;21.7 min;1-;
163Tm;69;94;b+;;;1.81 h;1/2+;
164Tm;69;95;b+;;;2 min;1+;
165Tm;69;96;b+;;;30.06 h;1/2+;
166Tm;69;97;b+;;;7.7 h;2+;
167Tm;69;98;EC;;;9.25 d;1/2+;
168Tm;69;99;b+;;;93.1 d;3+;
169Tm;69;100;stable;;;stable;1/2+;100
170Tm;69;101;b-: 99.9%;EC: 0.1%;;128.6 d;1-;
171Tm;69;102;b-;;;1.92 y;1/2+;
172Tm;69;103;b-;;;63.6 h;2-;
173Tm;69;104;b-;;;8.24 h;(1/2+);
174Tm;69;105;b-;;;5.4 min;4-;
175Tm;69;106;b-;;;15.2 min;(1/2)+;
176Tm;69;107;b-;;;1.85 min;(4+);
177Tm;69;108;b-;;;95 s;1/2+;
178Tm;69;109;b-;;;10 s;1-;
179Tm;69;110;b-;;;18 s;1/2+;
180Tm;69;111;b-;;;3 s;;
181Tm;69;112;b-;;;7 s;1/2+;
182Tm;69;113;b-;;;;;
183Tm;69;114;b-;;;;;
148Yb;70;78;b+;;;;;
149Yb;70;79;b+;;;0.7 s;(1/2+);
150Yb;70;80;b+;;;700 ms;0+;
151Yb;70;81;b+;;;1.6 s;(1/2+);
152Yb;70;82;b+;;;3.03 s;0+;
153Yb;70;83;b+;;;4.2 s;7/2-;
154Yb;70;84;a: 92.6%;b+: 7.4%;;0.409 s;0+;
155Yb;70;85;a: 89.0%;b+: 11.0%;;1.793 s;(7/2-);
156Yb;70;86;b+: 90.0%;a: 10.0%;;26.1 s;0+;
157Yb;70;87;b+;;;38.6 s;7/2-;
158Yb;70;88;b+;;;1.49 min;0+;
159Yb;70;89;b+;;;1.67 min;5/2-;
160Yb;70;90;b+;;;4.8 min;0+;
161Yb;70;91;b+;;;4.2 min;3/2-;
162Yb;70;92;b+;;;18.87 min;0+;
163Yb;70;93;b+;;;11.05 min;3/2-;
164Yb;70;94;EC;;;75.8 min;0+;
165Yb;70;95;b+;;;9.9 min;5/2-;
166Yb;70;96;EC;;;56.7 h;0+;
167Yb;70;97;b+;;;17.5 min;5/2-;
168Yb;70;98;stable;;;stable;0+;0.12
169Yb;70;99;EC;;;32.014 d;7/2+;
170Yb;70;100;stable;;;stable;0+;2.98
171Yb;70;101;stable;;;stable;1/2-;14.09
172Yb;70;102;stable;;;stable;0+;21.69
173Yb;70;103;stable;;;stable;5/2-;16.10
174Yb;70;104;stable;;;stable;0+;32.02
175Yb;70;105;b-;;;4.185 d;7/2-;
176Yb;70;106;stable;;;stable;0+;13.00
177Yb;70;107;b-;;;1.911 h;9/2+;
178Yb;70;108;b-;;;74 min;0+;
179Yb;70;109;b-;;;8 min;(1/2-);
180Yb;70;110;b-;;;2.4 min;0+;
181Yb;70;111;b-;;;1 min;3/2-;
182Yb;70;112;b-;;;30 s;0+;
183Yb;70;113;b-;;;30 s;3/2-;
184Yb;70;114;b-;;;7 s;0+;
185Yb;70;115;b-;;;5 s;9/2-;
186Yb;70;116;b-;;;;0+;
187Yb;70;117;b-;;;;;
149Lu;71;78;p;;;450 ns;11/2-;
150Lu;71;79;p;;;45 ms;(5-);
151Lu;71;80;p;b+;;78.4 ms;11/2-;
152Lu;71;81;b+;;;650 ms;(4-, 5-, 6-);
153Lu;71;82;b+;;;0.9 s;11/2-;
154Lu;71;83;b+;;;1 s;(2-);
155Lu;71;84;a: 90.0%;b+: 10.0%;;68 ms;11/2-;
156Lu;71;85;a;;;494 ms;(2)-;
157Lu;71;86;b+;a;;7.7 s;(1/2+);
158Lu;71;87;b+: 99.1%;a: 0.9%;;10.6 s;(2)-;
159Lu;71;88;b+;;;12.1 s;1/2+;
160Lu;71;89;b+;;;36.1 s;2-;
161Lu;71;90;b+;;;77 s;1/2+;
162Lu;71;91;b+;;;1.37 min;1-;
163Lu;71;92;b+;;;3.97 min;1/2+;
164Lu;71;93;b+;;;3.14 min;1-;
165Lu;71;94;b+;;;10.74 min;1/2+;
166Lu;71;95;b+;;;2.65 min;6-;
167Lu;71;96;b+;;;51.5 min;7/2+;
168Lu;71;97;b+;;;5.5 min;6-;
169Lu;71;98;b+;;;34.06 h;7/2+;
170Lu;71;99;b+;;;2.012 d;0+;
171Lu;71;100;b+;;;8.247 d;7/2+;
172Lu;71;101;b+;;;6.7 d;4-;
173Lu;71;102;EC;;;1.37 y;7/2+;
174Lu;71;103;b+;;;3.31 y;1-;
175Lu;71;104;stable;;;stable;7/2+;97.41
176Lu;71;105;b-;;;3.701E+10 y;7-;2.59
177Lu;71;106;b-;;;6.6443 d;7/2+;
178Lu;71;107;b-;;;28.4 min;1+;
179Lu;71;108;b-;;;4.59 h;7/2+;
180Lu;71;109;b-;;;5.7 min;5+;
181Lu;71;110;b-;;;3.5 min;7/2+;
182Lu;71;111;b-;;;2 min;1-;
183Lu;71;112;b-;;;58 s;7/2+;
184Lu;71;113;b-;;;20 s;(3+);
185Lu;71;114;b-;;;20 s;7/2+;
186Lu;71;115;b-;;;6 s;;
187Lu;71;116;b-;;;7 s;7/2+;
188Lu;71;117;b-;;;1 s;;
189Lu;71;118;b-;;;;;
190Lu;71;119;b-;;;;;
153Hf;72;81;b+;;;400 ms;1/2+;
154Hf;72;82;b+;;;2 s;0+;
155Hf;72;83;b+;;;843 ms;7/2-;
156Hf;72;84;a;;;23 ms;0+;
157Hf;72;85;a: 94.0%;b+: 6.0%;;115 ms;7/2-;
158Hf;72;86;b+: 55.7%;a: 44.3%;;2.85 s;0+;
159Hf;72;87;b+: 65.0%;a: 35.0%;;5.2 s;7/2-;
160Hf;72;88;b+: 99.3%;a: 0.7%;;13.6 s;0+;
161Hf;72;89;b+: 99.7%;a: 0.3%;;18.4 s;(7/2-);
162Hf;72;90;b+: 99.99%;a: 0.01%;;39.4 s;0+;
163Hf;72;91;b+;;;40 s;(5/2-);
164Hf;72;92;b+;;;111 s;0+;
165Hf;72;93;b+;;;76 s;(5/2-);
166Hf;72;94;b+;;;6.77 min;0+;
167Hf;72;95;b+;;;2.05 min;(5/2)-;
168Hf;72;96;b+;;;25.95 min;0+;
169Hf;72;97;b+;;;3.24 min;(5/2-);
170Hf;72;98;EC;;;16.01 h;0+;
171Hf;72;99;b+;;;12.1 h;7/2+;
172Hf;72;100;EC;;;1.87 y;0+;
173Hf;72;101;b+;;;23.6 h;1/2-;
174Hf;72;102;a;;;3.8E+16 y;0+;0.16
175Hf;72;103;EC;;;69.9 d;5/2-;
176Hf;72;104;stable;;;stable;0+;5.26
177Hf;72;105;stable;;;stable;7/2-;18.60
178Hf;72;106;stable;;;stable;0+;27.28
179Hf;72;107;stable;;;stable;9/2+;13.62
180Hf;72;108;stable;;;stable;0+;35.08
181Hf;72;109;b-;;;42.39 d;1/2-;
182Hf;72;110;b-;;;8.9E+6 y;0+;
183Hf;72;111;b-;;;1.018 h;(3/2-);
184Hf;72;112;b-;;;4.12 h;0+;
185Hf;72;113;b-;;;3.5 min;(9/2-);
186Hf;72;114;b-;;;2.6 min;0+;
187Hf;72;115;b-;;;14 s;9/2-;
188Hf;72;116;b-;;;7 s;0+;
189Hf;72;117;b-;;;400 ms;3/2-;
190Hf;72;118;b-;;;600 ms;0+;
191Hf;72;119;b-;;;;;
192Hf;72;120;b-;;;;0+;
155Ta;73;82;p;;;3.2 ms;11/2-;
156Ta;73;83;p: 71.0%;b+: 29.0%;;106 ms;(2-);
157Ta;73;84;a: 96.6%;p: 3.4%;;10.1 ms;1/2+;
158Ta;73;85;a;;;49 ms;(2)-;
159Ta;73;86;b+: 66.0%;a: 34.0%;;1.04 s;1/2+;
160Ta;73;87;a;;;1.7 s;(2)-;
161Ta;73;88;b+;a;;3 s;(1/2+);
162Ta;73;89;b+: 99.93%;a: 0.07%;;3.57 s;3-;
163Ta;73;90;b+;;;10.6 s;1/2+;
164Ta;73;91;b+;;;14.2 s;(3+);
165Ta;73;92;b+;;;31 s;(1/2+,3/2+);
166Ta;73;93;b+;;;34.4 s;(2)+;
167Ta;73;94;b+;;;1.33 min;(3/2+);
168Ta;73;95;b+;;;2 min;(3+);
169Ta;73;96;b+;;;4.9 min;(5/2+);
170Ta;73;97;b+;;;6.76 min;(3+);
171Ta;73;98;b+;;;23.3 min;(5/2+);
172Ta;73;99;b+;;;36.8 min;(3+);
173Ta;73;100;b+;;;3.14 h;5/2-;
174Ta;73;101;b+;;;1.14 h;3+;
175Ta;73;102;b+;;;10.5 h;7/2+;
176Ta;73;103;b+;;;8.09 h;(1)-;
177Ta;73;104;b+;;;56.36 h;7/2+;
178Ta;73;105;b+;;;2.36 h;7-;
179Ta;73;106;EC;;;1.82 y;7/2+;
180Ta;73;107;EC: 85.0%;b-: 15.0%;;8.154 h;1+;
181Ta;73;108;stable;;;stable;7/2+;100
182Ta;73;109;b-;;;114.74 d;3-;
183Ta;73;110;b-;;;5.1 d;7/2+;
184Ta;73;111;b-;;;8.7 h;(5-);
185Ta;73;112;b-;;;49.4 min;(7/2+);
186Ta;73;113;b-;;;10.5 min;;
187Ta;73;114;b-;;;2.3 min;(7/2+);
188Ta;73;115;b-;;;19.6 s;(1-);
189Ta;73;116;b-;;;20 s;7/2+;
190Ta;73;117;b-;;;5.3 s;;
191Ta;73;118;b-;;;460 ms;7/2+;
192Ta;73;119;b-;;;2.2 s;;
193Ta;73;120;b-;;;220 ms;7/2+;
194Ta;73;121;b-;;;2 s;;
156W;74;82;b+;;;157 ms;0+;
157W;74;83;b+;;;275 ms;(7/2-);
158W;74;84;a;;;1.43 ms;0+;
159W;74;85;a;;;8.2 ms;7/2-;
160W;74;86;a: 87.0%;b+: 13.0%;;90 ms;0+;
161W;74;87;a: 73.0%;b+: 27.0%;;409 ms;7/2-;
162W;74;88;b+: 54.8%;a: 45.2%;;1.19 s;0+;
163W;74;89;b+: 86.0%;a: 14.0%;;2.63 s;7/2-;
164W;74;90;b+: 96.2%;a: 3.8%;;6.3 s;0+;
165W;74;91;b+;;;5.1 s;(5/2-);
166W;74;92;b+: 99.97%;a: 0.03%;;19.2 s;0+;
167W;74;93;b+: 99.96%;a: 0.04%;;19.9 s;(5/2-);
168W;74;94;b+: 99.97%;a: 0.03%;;50.9 s;0+;
169W;74;95;b+;;;74 s;5/2-;
170W;74;96;b+;;;2.42 min;0+;
171W;74;97;b+;;;2.38 min;(5/2-);
172W;74;98;b+;;;6.6 min;0+;
173W;74;99;b+;;;7.6 min;5/2-;
174W;74;100;b+;;;33.2 min;0+;
175W;74;101;b+;;;35.2 min;(1/2-);
176W;74;102;EC;;;2.5 h;0+;
177W;74;103;b+;;;132.4 min;1/2-;
178W;74;104;EC;;;21.6 d;0+;
179W;74;105;b+;;;37.05 min;7/2-;
180W;74;106;a;;;1.59E+18 y;0+;0.12
181W;74;107;EC;;;120.956 d;9/2+;
182W;74;108;stable;;;stable;0+;26.50
183W;74;109;stable;;;stable;1/2-;14.31
184W;74;110;stable;;;stable;0+;30.64
185W;74;111;b-;;;75.1 d;3/2-;
186W;74;112;stable;;;stable;0+;28.43
187W;74;113;b-;;;23.809 h;3/2-;
188W;74;114;b-;;;69.77 d;0+;
189W;74;115;b-;;;11.6 min;9/2-;
190W;74;116;b-;;;30 min;0+;
191W;74;117;b-;;;14 s;3/2-;
192W;74;118;b-;;;40 s;0+;
193W;74;119;b-;;;30 s;1/2-;
194W;74;120;b-;;;20 s;0+;
195W;74;121;b-;;;30 s;3/2-;
196W;74;122;b-;;;25 s;0+;
197W;74;123;b-;;;1 s;5/2-;
159Re;75;84;p;;;40 μs;1/2+;
160Re;75;85;p: 89.0%;a: 11.0%;;611 μs;(4-);
161Re;75;86;p;;;440 μs;1/2+;
162Re;75;87;a: 94.0%;b+: 6.0%;;107 ms;(2)-;
163Re;75;88;b+: 68.0%;a: 32.0%;;390 ms;1/2+;
164Re;75;89;a;b+;;719 s;(2)-;
165Re;75;90;b+: 86.0%;a: 14.0%;;1.6 s;(1/2+);
166Re;75;91;b+;a;;2.25 s;(7+);
167Re;75;92;a;b+;;3.4 s;9/2-;
168Re;75;93;b+: 99.995%;a: 0.005%;;4.4 s;(7+);
169Re;75;94;b+: 99.995%;a: 0.005%;;8.1 s;(9/2-);
170Re;75;95;b+;;;> 1 s;(8-,9-);
171Re;75;96;b+;;;15.2 s;(9/2-);
172Re;75;97;b+;;;55 s;(2+);
173Re;75;98;b+;;;2 min;(5/2-);
174Re;75;99;b+;;;2.4 min;3+;
175Re;75;100;b+;;;5.89 min;5/2-;
176Re;75;101;b+;;;5.3 min;(3+);
177Re;75;102;b+;;;14 min;5/2-;
178Re;75;103;b+;;;13.2 min;(3+);
179Re;75;104;b+;;;19.5 min;5/2+;
180Re;75;105;b+;;;2.46 min;(1)-;
181Re;75;106;b+;;;19.9 h;5/2+;
182Re;75;107;b+;;;64.2 h;7+;
183Re;75;108;EC;;;70 d;5/2+;
184Re;75;109;b+;;;35.4 d;3-;
185Re;75;110;stable;;;stable;5/2+;37.40
186Re;75;111;b-: 92.5%;EC: 7.5%;;3.7185 d;1-;
187Re;75;112;b-;;;4.16E+10 y;5/2+;62.60
188Re;75;113;b-;;;17.005 h;1-;
189Re;75;114;b-;;;24.3 h;5/2+;
190Re;75;115;b-;;;3 min;(2)-;
191Re;75;116;b-;;;9.8 min;(3/2+);
192Re;75;117;b-;;;15.4 s;(0-);
193Re;75;118;b-;;;3 min;5/2+;
194Re;75;119;b-;;;5 s;1-;
195Re;75;120;b-;;;5 s;5/2+;
196Re;75;121;b-;;;2.4 s;;
197Re;75;122;b-;;;400 ms;5/2+;
198Re;75;123;b-;;;1 s;;
199Re;75;124;b-;;;250 ms;5/2+;
160Os;76;84;a;;;97 μs;0+;
161Os;76;85;a;;;0.64 ms;;
162Os;76;86;a;;;2.1 ms;0+;
163Os;76;87;a;;;5.7 ms;;
164Os;76;88;a: 96.0%;b+: 4.0%;;21 ms;0+;
165Os;76;89;a: 90.0%;b+: 10.0%;;71 ms;;
166Os;76;90;a: 83.0%;b+: 17.0%;;213 ms;0+;
167Os;76;91;a: 51.0%;b+: 49.0%;;839 ms;;
168Os;76;92;b+: 57.0%;a: 43.0%;;2.1 s;0+;
169Os;76;93;b+: 86.3%;a: 13.7%;;3.46 s;;
170Os;76;94;b+: 90.5%;a: 9.5%;;7.37 s;0+;
171Os;76;95;b+: 98.2%;a: 1.8%;;8.3 s;(5/2-);
172Os;76;96;b+: 98.8%;a: 1.2%;;19.2 s;0+;
173Os;76;97;b+: 99.6%;a: 0.4%;;22.4 s;;
174Os;76;98;b+: 99.98%;a: 0.02%;;44 s;0+;
175Os;76;99;b+;;;1.4 min;(5/2-);
176Os;76;100;b+;;;3.6 min;0+;
177Os;76;101;b+;;;3 min;1/2-;
178Os;76;102;b+;;;5 min;0+;
179Os;76;103;b+;;;6.5 min;;
180Os;76;104;b+;;;21.5 min;0+;
181Os;76;105;b+;;;105 min;1/2-;
182Os;76;106;EC;;;21.84 h;0+;
183Os;76;107;b+;;;13 h;9/2+;
184Os;76;108;a;;;1.12E+13 y;0+;0.02
185Os;76;109;EC;;;92.95 d;1/2-;
186Os;76;110;a;;;2E+15 y;0+;1.59
187Os;76;111;stable;;;stable;1/2-;1.96
188Os;76;112;stable;;;stable;0+;13.24
189Os;76;113;stable;;;stable;3/2-;16.15
190Os;76;114;stable;;;stable;0+;26.26
191Os;76;115;b-;;;14.99 d;9/2-;
192Os;76;116;stable;;;stable;0+;40.78
193Os;76;117;b-;;;29.83 h;3/2-;
194Os;76;118;b-;;;6 y;0+;
195Os;76;119;b-;;;6.5 min;(3/2-);
196Os;76;120;b-;;;34.9 min;0+;
197Os;76;121;b-;;;93 s;5/2-;
198Os;76;122;b-;;;125 s;0+;
199Os;76;123;b-;;;6 s;5/2-;
200Os;76;124;b-;;;7 s;0+;
201Os;76;125;b-;;;3 s;1/2-;
202Os;76;126;b-;;;2 s;0+;
203Os;76;127;b-;;;300 ms;9/2+;
164Ir;77;87;p;;;< 0.5 μs;2-;
165Ir;77;88;p;;;1.2 μs;(1/2+);
166Ir;77;89;a: 93.0%;p: 7.0%;;10.5 ms;(2)-;
167Ir;77;90;a: 43.5%;p: 38.6%;b+: 17.9%;29.3 ms;1/2+;
168Ir;77;91;a;;;230 ms;(2)-;
169Ir;77;92;a: 53.0%;b+: 47.0%;;353 ms;(1/2+);
170Ir;77;93;b+: 94.8%;a: 5.2%;;910 ms;(3-);
171Ir;77;94;b+: 85.0%;a: 15.0%;;3.1 s;1/2+;
172Ir;77;95;b+: 98.0%;a: 2.0%;;4.4 s;(3-,4-);
173Ir;77;96;b+: 96.5%;a: 3.5%;;9 s;(1/2+,3/2+);
174Ir;77;97;b+: 99.5%;a: 0.5%;;7.9 s;(2+,3-);
175Ir;77;98;b+: 99.2%;a: 0.8%;;9 s;(1/2+);
176Ir;77;99;b+: 96.9%;a: 3.1%;;8.7 s;(3+);
177Ir;77;100;b+: 99.94%;a: 0.06%;;29.8 s;5/2-;
178Ir;77;101;b+;;;12 s;3+;
179Ir;77;102;b+;;;79 s;(5/2)-;
180Ir;77;103;b+;;;1.5 min;(5+);
181Ir;77;104;b+;;;4.9 min;5/2-;
182Ir;77;105;b+;;;15 min;3+;
183Ir;77;106;b+;;;58 min;5/2-;
184Ir;77;107;b+;;;3.09 h;5-;
185Ir;77;108;b+;;;14.4 h;5/2-;
186Ir;77;109;b+;;;16.64 h;5+;
187Ir;77;110;b+;;;10.5 h;3/2+;
188Ir;77;111;b+;;;41.5 h;1-;
189Ir;77;112;EC;;;13.2 d;3/2+;
190Ir;77;113;b+;;;11.7511 d;4-;
191Ir;77;114;stable;;;stable;3/2+;37.30
192Ir;77;115;b-: 95.2%;EC: 4.8%;;73.82 d;4+;
193Ir;77;116;stable;;;stable;3/2+;62.70
194Ir;77;117;b-;;;19.35 h;1-;
195Ir;77;118;b-;;;2.29 h;3/2+;
196Ir;77;119;b-;;;52 s;;
197Ir;77;120;b-;;;5.8 min;3/2+;
198Ir;77;121;b-;;;8.7 s;1-;
199Ir;77;122;b-;;;7 s;3/2+;
200Ir;77;123;b-;;;43 s;(2-, 3-);
201Ir;77;124;b-;;;21 s;(3/2+);
202Ir;77;125;b-;;;11 s;(2-);
203Ir;77;126;b-;;;7 s;3/2+;
204Ir;77;127;b-;;;2 s;3/2+;
205Ir;77;128;b-;;;1 s;3/2+;
165Pt;78;87;a;;;370 μs;7/2-;
166Pt;78;88;a;;;294 μs;0+;
167Pt;78;89;a;;;920 μs;7/2-;
168Pt;78;90;a;;;2.02 ms;0+;
169Pt;78;91;a;;;6.99 ms;(7/2-);
170Pt;78;92;a;;;13.93 ms;0+;
171Pt;78;93;a: 86.0%;b+: 14.0%;;45.5 ms;7/2-;
172Pt;78;94;a: 96.0%;b+: 4.0%;;97.6 ms;0+;
173Pt;78;95;a: 86.0%;b+: 14.0%;;382 ms;(5/2-);
174Pt;78;96;a: 74.9%;b+: 25.1%;;862 ms;0+;
175Pt;78;97;a: 64.0%;b+: 36.0%;;2.43 s;(7/2-);
176Pt;78;98;b+: 60.0%;a: 40.0%;;6.33 s;0+;
177Pt;78;99;b+: 94.3%;a: 5.7%;;10 s;5/2-;
178Pt;78;100;b+: 92.3%;a: 7.7%;;20.7 s;0+;
179Pt;78;101;b+: 99.8%;a: 0.2%;;21.2 s;1/2-;
180Pt;78;102;b+: 99.5%;a: 0.5%;;56 s;0+;
181Pt;78;103;b+: 99.93%;a: 0.07%;;52 s;1/2-;
182Pt;78;104;b+: 99.96%;a: 0.04%;;2.67 min;0+;
